"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4108","shouldCancelBooking()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCancelBooking"
"","1348","validateBusSeatMapResponse()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","validateBusSeatMapResponse"
"","37","shouldResetDataBetweenTests()","","2026-07-18","passed","2026-07-18","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldResetDataBetweenTests"
"","1451","getCurrentIdentityForDave()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","getCurrentIdentityForDave"
"","1455","shouldResetCurrentUserNamespace()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldResetCurrentUserNamespace"
"","1418","shouldReturnBusNotFoundForInvalidBusId()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnBusNotFoundForInvalidBusId"
"","41","shouldPersistBooking()","","2026-07-18","passed","2026-07-18","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistBooking"
"","31","shouldStartWithEmptyBookingsTable()","","2026-07-18","passed","2026-07-18","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldStartWithEmptyBookingsTable"
"","3492","makeTheUserAuthentication()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","makeTheUserAuthentication"
"","2774","shouldCreatePayAndConfirmBooking()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCreatePayAndConfirmBooking"
"","40","shouldPersistConfirmedBooking()","","2026-07-18","passed","2026-07-18","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistConfirmedBooking"
"","1431","shouldListBookings()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldListBookings"
"","1481","shouldReturnInvalidSeats()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnInvalidSeats"
"","2139","shouldCreateBookingSuccessfully()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldCreateBookingSuccessfully"
"","4120","shouldGetBookingByPnr()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldGetBookingByPnr"
"","1517","shouldReturnForbiddenForTravellerToken()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","shouldReturnForbiddenForTravellerToken"
"","58","shouldPersistRefundedBooking()","","2026-07-18","passed","2026-07-18","","com.api.tests.BookingTestIT","com.api.tests.BookingTestIT","shouldPersistRefundedBooking"
"","661","searchBusesBetweenCities()","","2026-07-18","passed","2026-07-18","","com.api.support.BaseApiTest","com.api.support.BaseApiTest","searchBusesBetweenCities"
